report_id,client_id,generated_date,download_date,status,s3_path,next_best_action
RPT-C96F2A74B7,CL00023,2026-04-10 02:16:16.276406,,init,,Immediately rebalance portfolio to align with target allocation as Fixed Income is 68% versus 0% target and Equity is 22% versus 85% target.
RPT-836D05B96C,CL00026,2026-04-10 02:17:03.377967,,init,,Urgently rebalance the portfolio from 100% equity to the target 60% fixed income and 35% equity allocation.
RPT-44C1F9CF50,CL00025,2026-04-10 02:17:43.769314,,init,,Immediately rebalance the portfolio to reduce Fixed Income from 69% to target and increase Equity from 20% to 85% target allocation.
RPT-1DF77AE0B5,CL00028,2026-04-10 02:17:14.615,,init,,Immediately rebalance the portfolio to add 60% fixed income as current holdings show zero fixed income versus conservative 60% target.
RPT-F80835A335,CL00027,2026-04-10 02:17:16.177557,,init,,Rebalance the portfolio immediately as Fixed Income is 15.6% overweight and Equity is 18.1% underweight versus targets.
RPT-239CC259C3,CL00030,2026-04-10 02:18:37.563723,,init,,Immediately rebalance the portfolio as it holds 69% fixed income versus 0% target and only 18% equity versus 85% target.
RPT-DFE6277F73,CL00029,2026-04-10 02:17:55.45647,,init,,Rebalance portfolio immediately as equity allocation is 31 percentage points below the 60% target for aggressive risk profile.
RPT-354960784D,CL00032,2026-04-10 02:19:09.830792,,init,,Urgently address the critical portfolio allocation issue with 100% equity versus 85% target and zero cash holdings.
RPT-6AE52BEDB6,CL00034,2026-04-10 02:20:15.541194,,init,,Immediately rebalance the portfolio as it holds 79% Fixed Income versus the 20% target and violates client restrictions on alternatives.
RPT-ADE726EE96,CL00033,2026-04-10 02:19:52.869817,,init,,"Immediately fund the portfolio as current value of $23,394 is 99.9% below the stated $29.97M AUM"
RPT-C52C95236A,CL00036,2026-04-10 02:19:05.16566,,init,,Schedule an urgent meeting to understand why a client with $0 AUM has been on the books for nearly two years.
RPT-5F8AC417A1,CL00035,2026-04-10 02:20:33.100472,,init,,Address the significant ongoing cash outflows averaging $450K per quarter that threaten portfolio sustainability within 6 years
